id,en_sent,en_amr,cn_sent,cn_amr,fa_sent,fa_amr
1,Chapter 1 .,( / ),﻿﻿I,( / ),فصل یک,( / )
2,"Once when I was six years old I saw a magnificent picture in a book , called True Stories from Nature , about the primeval forest .",( / : arg0 ( / ) : arg1 ( / : mod ( / ) : location ( / : : name ( / name : : : : ) : topic ( / : mod ( / ) ) ) ) : mod ( / ) : time ( / : arg1 : arg2 ( / temporal-quantity : quant 6 : unit ( / ) ) ) ),当 我 还 只 有 六 岁 的 时候 ， 在 一 本 描写 原始 森林 的 名 叫 《 真实 的 故事 》 的 书 中 ， 看到 了 一 副 精彩 的 插画 ，,( / : arg0 ( ) ( / ) : ( ) ( / ) : arg1 ( ) ( / : quant ( ) ( / ) : ( ) ( / ) : mod ( ) ( / ) ) : location ( ) ( / : name ( ) ( / : mod ( ) ( / ) ) : topic ( ) ( / : arg1 ( ) ( / : mod ( ) ( / ) ) ) : quant ( ) ( / ) : ( ) ( / ) ) : time ( ) ( / : arg1 ( ) ( / ) : arg2 ( ) ( / temporal-quantity : quant ( ) ( / 6 ) : unit ( ) ( / ) ) : mod ( ) ( / ) : mod ( ) ( / ) ) ),"وقتی شش ساله بودم روزی در کتابی راجع به جنگل طبیعی که ""سرگذشتهای واقعی"" نام داشت تصویر زیبایی دیدم .",( / : arg0 ( / ) : arg1 ( / : mod ( / ) : location ( / : : name ( / name : : ) : topic ( / : mod ( / ) ) ) ) : time ( / : arg1 : arg2 ( / temporal-quantity : quant 6 : unit ( / ) ) ) )
3,It was a picture of a boa constrictor in the act of swallowing an animal .,( / : ( / ) : ( / : mod ( / ) : ( / : arg1 ( / ) ) ) ),画 的 是 一 条 蟒蛇 正在 吞食 一 只 大 野兽 。,( / : ( ) ( / : ( ) ( / ) : ( ) ( / ) ) : arg1 ( ) ( / : mod ( ) ( / : ( ) ( / ) ) : ( ) ( / ) ) : ( ) ( / ) : ( ) ( / : ( ) ( / ) ) ),تصویر مار بوآ را نشان می‌داد که حیوان درنده‌ای را می‌بلعید .,( / : arg1 ( / : mod ( / ) : ( / : arg1 ( / : mod ( / ) ) ) ) : ( / ) )
4,Here is a copy of the drawing .,( / : ( / : ( / : ( / : ( / ) ) ) ) : ( / ) ),页头 上 就 是 那 副 画 的 摹本 。,( / : ( ) ( / : ( ) ( / ) : ( ) ( / ) ) : ( ) ( / : ( ) ( / ) ) : ( ) ( / ) ),اینک نسخه‌ای از آن تصویر را در بالا می‌بینید .,( / : ( / ) : ( / : ( / : ( / ) ) ) : ( / ) : ( / ) )
5,"In the book it said : "" Boa constrictors swallow their prey whole , without chewing it .",( / : arg0 ( / ) : arg1 ( / : arg0 ( / : mod ( / ) ) : arg1 ( / : mod ( / ) : poss ) : manner ( / : polarity - : arg0 : arg1 ) ) ),这 本 书 中 写道 ： “ 这些 蟒蛇 把 它们 的 猎获物 不加 咀嚼 地 囫囵 吞下,( / : ( ) ( / : mod ( ) ( / ) : ( ) ( / ) ) : arg1 ( ) ( / : arg0 ( ) ( / : mod ( ) ( / ) ) : arg1 ( ) ( / : ( ) ( / ) : poss ( ) ( / ) ) : manner ( ) ( / : polarity ( ) ( / - ) : arg0 ( ) ( / ) ) : manner ( ) ( / ) ) ),در آن کتاب گفته بودند که مارهای بوآ شکار خود را بی آنکه بجوند درسته می‌بلعند .,( / : arg0 ( / ) : arg1 ( / : arg0 ( / ) : arg1 ( / : poss ) : manner ( / : polarity - : arg0 : arg1 ) ) : ( / : mod ( / ) ) )
6,"After that they are not able to move , and they sleep through the six months that they need for digestion . """,( / : op1 ( / : polarity - : arg1 ( / : arg0 ( / ) : ( / : op1 ( / ) ) ) ) : op2 ( / : arg0 : duration ( / temporal-quantity : quant 6 : unit ( / ) : ( / : arg0 : ( / : arg0 ) ) ) ) ),尔后 就 不 能 再 动弹 了 ； 它们 就 在 长长 的 六 个 月 的 睡眠 中 消化 这些 食物 。 ”,( / : arg1 ( ) ( / : op1 ( ) ( / : ( ) ( / : polarity ( ) ( / - ) : arg0 ( ) ( / : arg0 ( ) ( / ) : ( ) ( / ) ) : ( ) ( / ) : ( ) ( / ) ) ) : op2 ( ) ( / : arg0 ( ) ( / ) : arg1 ( ) ( / : ( ) ( / ) ) : duration ( ) ( / : arg1 ( ) ( / : arg0 ( ) ( / ) ) : duration ( ) ( / temporal-quantity : quant ( ) ( / 6 ) : unit ( ) ( / ) : ( ) ( / ) ) ) ) ) ),بعد دیگر نمی‌توانند تکان بخورند و در شش ماهی که به هضم آن مشغولند می‌خوابند .,( / : op1 ( / : polarity - : arg1 ( / : arg0 ) : ( / ) ) : op2 ( / : arg0 ( / : ( / : arg0 : arg1 ( / ) : duration ( / temporal-quantity : quant 6 : unit ( / ) ) ) ) ) )
7,"I pondered deeply , then , over the adventures of the jungle .",( / : arg0 ( / ) : arg1 ( / : location ( / ) ) : ( / ) : time ( / ) ),当时 ， 我 对 丛林 中 的 奇遇 想 得 很 多 ，,( / : arg0 ( ) ( / ) : arg1 ( ) ( / : location ( ) ( / ) ) : ( ) ( / : ( ) ( / ) ) : time ( ) ( / ) ),من آن وقت درباره ماجراهای جنگل بسیار فکر کردم .,( / : arg0 ( / ) : arg1 ( / : location ( / ) ) : ( / ) : time ( / : ( / ) ) )
8,And after some work with a colored pencil I succeeded in making my first drawing .,( / : ( / : arg0 ( / ) : arg1 ( / : arg0 : arg1 ( / : ( / : arg0 : ord ( / ordinal-entity : value 1 ) ) ) ) : ( / : ( / : arg0 : instrument ( / : mod ( / ) ) : mod ( / ) ) ) ) ),于是 ， 我 也 用 彩色 铅笔 画 出 了 我 的 第一 副 图画 。,( / : ( ) ( / : arg0 ( ) ( / ) : arg1 ( ) ( / : ( ) ( / ) : ord ( ) ( / ordinal-entity : value ( ) ( / 1 ) ) : ( ) ( / ) ) : ( ) ( / ) : instrument ( ) ( / : mod ( ) ( / ) ) : mod ( ) ( / ) ) ),و توانستم با مداد رنگی تصویر شماره ۱ را که نخستین کار نقاشی من بود بکشم .,( / : ( / : arg1 ( / : arg0 ( / ) : arg1 ( / : : ( / : : : 1 ) ) : instrument ( / : mod ( / ) ) : ord ( / ordinal-entity : value 1 ) ) ) )
9,My Drawing Number One .,( / : : ( / : : : ) : ( / ) ),我 的 第一 号 作品 。,( / : ( ) ( / ) : ( ) ( / : ( ) ( / ) : ( ) ( / ) ) ),تصویر شماره ۱,( / : : ( / : : : ) )
10,"It looked like this : I showed my masterpiece to the grown - ups , and asked them whether the drawing frightened them .",( / : op1 ( / : arg0 ( / ) : arg1 ( / ) ) : op2 ( / : arg0 ( / ) : arg1 ( / : poss ) : arg2 ( / ) ) : ( / : arg0 : arg1 ( / : : arg0 ( / : ( / ) ) : arg1 ) : arg2 ) ),它 是 这样 的 ： 我 把 我 的 这 副 杰作 拿 给 大人 看 ， 我 问 他们 我 的 画 是 不 是 叫 他们 害怕 。,( / : arg0 ( ) ( / ) : ( ) ( / ) : ( ) ( / : op1 ( ) ( / : arg0 ( ) ( / ) : arg1 ( ) ( / : poss ( ) ( / ) : ( ) ( / ) : ( ) ( / ) ) : arg2 ( ) ( / ) : ( ) ( / : arg0 ( ) ( / ) : arg1 ( ) ( / ) ) ) : op2 ( ) ( / : arg0 ( ) ( / ) : arg2 ( ) ( / ) : arg1 ( ) ( / : arg0 ( ) ( / : poss ( ) ( / ) ) : arg1 ( ) ( / ) : ( ) ( / ) ) ) ) ),شاهکار خود را به آدم بزرگ‌ها نشان دادم و از ایشان پرسیدم که آیا از نقاشی من می‌ترسند ؟,( / : op1 ( / : arg0 ( / ) : arg1 ( / : arg2 ( / : ( / ) ) : poss ) ) : op2 ( / : arg0 : arg1 ( / : arg0 : arg1 ( / : poss : ( / ) ) : ( / ) ) : arg2 ) )
11,"But they answered : "" Frighten ?",( / : arg2 ( / : arg0 ( / ) : arg2 ( / : ) ) ),他们 回答 我 说 ： ” 害怕 ？,( / : arg0 ( ) ( / ) : ( ) ( / ) : arg2 ( ) ( / ) : ( ) ( / ) ),اما آنها جواب‌دادند : چرا بترسیم ؟,( / : arg2 ( / : arg0 ( / ) : arg2 ( / : arg0 : ( / : arg0 ( / ) ) ) ) )
12,"Why should any one be frightened by a hat ? """,( / : ( / ) : ( / : ( / ) ) : ( / : ( / ) ) ),“ 一 顶 帽子 有 什么 可怕 的 ？ ”,( / : ( ) ( / : ( ) ( / : ( ) ( / ) : ( ) ( / ) ) : ( ) ( / ) : ( ) ( / ) : ( ) ( / ) ) ),کلاه که ترس ندارد .,( / : : ( / ) )
