id,en_sent,en_amr,cn_sent,cn_amr,fa_sent,fa_amr
1,Chapter 1 .,( / : ),﻿﻿I,( / ),فصل یک,( / : )
2,"Once when I was six years old I saw a magnificent picture in a book , called True Stories from Nature , about the primeval forest .",( / : ( / ) : ( / : ( / ) : ( / : : ( / : : : : ) : ( / : ( / ) ) ) ) : ( / ) : ( / : : ( / : : ( / ) ) ) ),当 我 还 只 有 六 岁 的 时候 ， 在 一 本 描写 原始 森林 的 名 叫 《 真实 的 故事 》 的 书 中 ， 看到 了 一 副 精彩 的 插画 ，,( / : ( ) ( / ) : ( ) ( / ) : ( ) ( / : ( ) ( / ) : ( ) ( / ) : ( ) ( / ) ) : ( ) ( / : ( ) ( / : ( ) ( / ) ) : ( ) ( / : ( ) ( / : ( ) ( / ) ) ) : ( ) ( / ) : ( ) ( / ) ) : ( ) ( / : ( ) ( / ) : ( ) ( / : ( ) ( / ) : ( ) ( / ) ) : ( ) ( / ) : ( ) ( / ) ) ),"وقتی شش ساله بودم روزی در کتابی راجع به جنگل طبیعی که ""سرگذشتهای واقعی"" نام داشت تصویر زیبایی دیدم .",( / : ( / ) : ( / : ( / ) : ( / : : ( / : : ) : ( / : ( / ) ) ) ) : ( / : : ( / : : ( / ) ) ) )
3,It was a picture of a boa constrictor in the act of swallowing an animal .,( / : ( / ) : ( / : ( / ) : ( / : ( / ) ) ) ),画 的 是 一 条 蟒蛇 正在 吞食 一 只 大 野兽 。,( / : ( ) ( / : ( ) ( / ) : ( ) ( / ) ) : ( ) ( / : ( ) ( / : ( ) ( / ) ) : ( ) ( / ) ) : ( ) ( / ) : ( ) ( / : ( ) ( / ) ) ),تصویر مار بوآ را نشان می‌داد که حیوان درنده‌ای را می‌بلعید .,( / : ( / : ( / ) : ( / : ( / : ( / ) ) ) ) : ( / ) )
4,Here is a copy of the drawing .,( / : ( / : ( / : ( / : ( / ) ) ) ) : ( / ) ),页头 上 就 是 那 副 画 的 摹本 。,( / : ( ) ( / : ( ) ( / ) : ( ) ( / ) ) : ( ) ( / : ( ) ( / ) ) : ( ) ( / ) ),اینک نسخه‌ای از آن تصویر را در بالا می‌بینید .,( / : ( / ) : ( / : ( / : ( / ) ) ) : ( / ) : ( / ) )
5,"In the book it said : "" Boa constrictors swallow their prey whole , without chewing it .",( / : ( / ) : ( / : ( / : ( / ) ) : ( / : ( / ) : ) : ( / : : : ) ) ),这 本 书 中 写道 ： “ 这些 蟒蛇 把 它们 的 猎获物 不加 咀嚼 地 囫囵 吞下,( / : ( ) ( / : ( ) ( / ) : ( ) ( / ) ) : ( ) ( / : ( ) ( / : ( ) ( / ) ) : ( ) ( / : ( ) ( / ) : ( ) ( / ) ) : ( ) ( / : ( ) ( / ) : ( ) ( / ) ) : ( ) ( / ) ) ),در آن کتاب گفته بودند که مارهای بوآ شکار خود را بی آنکه بجوند درسته می‌بلعند .,( / : ( / ) : ( / : ( / ) : ( / : ) : ( / : : : ) ) : ( / : ( / ) ) )
6,"After that they are not able to move , and they sleep through the six months that they need for digestion . """,( / : ( / : : ( / : ( / ) : ( / : ( / ) ) ) ) : ( / : : ( / : : ( / ) : ( / : : ( / : ) ) ) ) ),尔后 就 不 能 再 动弹 了 ； 它们 就 在 长长 的 六 个 月 的 睡眠 中 消化 这些 食物 。 ”,( / : ( ) ( / : ( ) ( / : ( ) ( / : ( ) ( / ) : ( ) ( / : ( ) ( / ) : ( ) ( / ) ) : ( ) ( / ) : ( ) ( / ) ) ) : ( ) ( / : ( ) ( / ) : ( ) ( / : ( ) ( / ) ) : ( ) ( / : ( ) ( / : ( ) ( / ) ) : ( ) ( / : ( ) ( / ) : ( ) ( / ) : ( ) ( / ) ) ) ) ) ),بعد دیگر نمی‌توانند تکان بخورند و در شش ماهی که به هضم آن مشغولند می‌خوابند .,( / : ( / : : ( / : ) : ( / ) ) : ( / : ( / : ( / : : ( / ) : ( / : : ( / ) ) ) ) ) )
7,"I pondered deeply , then , over the adventures of the jungle .",( / : ( / ) : ( / : ( / ) ) : ( / ) : ( / ) ),当时 ， 我 对 丛林 中 的 奇遇 想 得 很 多 ，,( / : ( ) ( / ) : ( ) ( / : ( ) ( / ) ) : ( ) ( / : ( ) ( / ) ) : ( ) ( / ) ),من آن وقت درباره ماجراهای جنگل بسیار فکر کردم .,( / : ( / ) : ( / : ( / ) ) : ( / ) : ( / : ( / ) ) )
8,And after some work with a colored pencil I succeeded in making my first drawing .,( / : ( / : ( / ) : ( / : : ( / : ( / : : ( / : ) ) ) ) : ( / : ( / : : ( / : ( / ) ) : ( / ) ) ) ) ),于是 ， 我 也 用 彩色 铅笔 画 出 了 我 的 第一 副 图画 。,( / : ( ) ( / : ( ) ( / ) : ( ) ( / : ( ) ( / ) : ( ) ( / : ( ) ( / ) ) : ( ) ( / ) ) : ( ) ( / ) : ( ) ( / : ( ) ( / ) ) : ( ) ( / ) ) ),و توانستم با مداد رنگی تصویر شماره ۱ را که نخستین کار نقاشی من بود بکشم .,( / : ( / : ( / : ( / ) : ( / : : ( / : : : ) ) : ( / : ( / ) ) : ( / : ) ) ) )
9,My Drawing Number One .,( / : : ( / : : : ) : ( / ) ),我 的 第一 号 作品 。,( / : ( ) ( / ) : ( ) ( / : ( ) ( / ) : ( ) ( / ) ) ),تصویر شماره ۱,( / : : ( / : : : ) )
10,"It looked like this : I showed my masterpiece to the grown - ups , and asked them whether the drawing frightened them .",( / : ( / : ( / ) : ( / ) ) : ( / : ( / ) : ( / : ) : ( / ) ) : ( / : : ( / : : ( / : ( / ) ) : ) : ) ),它 是 这样 的 ： 我 把 我 的 这 副 杰作 拿 给 大人 看 ， 我 问 他们 我 的 画 是 不 是 叫 他们 害怕 。,( / : ( ) ( / ) : ( ) ( / ) : ( ) ( / : ( ) ( / : ( ) ( / ) : ( ) ( / : ( ) ( / ) : ( ) ( / ) : ( ) ( / ) ) : ( ) ( / ) : ( ) ( / : ( ) ( / ) : ( ) ( / ) ) ) : ( ) ( / : ( ) ( / ) : ( ) ( / ) : ( ) ( / : ( ) ( / : ( ) ( / ) ) : ( ) ( / ) : ( ) ( / ) ) ) ) ),شاهکار خود را به آدم بزرگ‌ها نشان دادم و از ایشان پرسیدم که آیا از نقاشی من می‌ترسند ؟,( / : ( / : ( / ) : ( / : ( / : ( / ) ) : ) ) : ( / : : ( / : : ( / : : ( / ) ) : ( / ) ) : ) )
